question,context,expected_answer,response
What is the capital of Japan?,Japan is an island country in East Asia. Its capital and largest city is Tokyo.,Tokyo,The capital of Japan is Tokyo.
When was the Eiffel Tower completed?,The Eiffel Tower is a wrought-iron lattice tower located in Paris. It was completed in 1889.,1889,The Eiffel Tower was completed in 1889 and stands about 500 metres tall.
What language is officially spoken in Brazil?,Brazil is the largest country in South America. Portuguese is its official language.,Portuguese,Portuguese is the official language of Brazil.
Who wrote the play Romeo and Juliet?,William Shakespeare was an English playwright who wrote many famous works including Hamlet and Macbeth.,William Shakespeare,Romeo and Juliet was written by William Shakespeare.
At what temperature does water boil at sea level?,At standard atmospheric pressure at sea level water boils at 100 degrees Celsius.,100 degrees Celsius,Water boils at 90 degrees Celsius at sea level.
What is 5 multiplied by 6?,,30,30
What is the capital city of Australia?,,Canberra,The capital of Australia is Sydney.
Name one primary color.,,Red,"Well, that is an interesting question because color theory is quite deep, but if I had to pick one I suppose red could count, though blue and yellow are also primary, and it really depends on whether we mean additive or subtractive models."
What is the chemical symbol for gold?,,Au,Au
List the three primary colors.,,"Red, blue, and yellow",Red.
